source,correction,domain
"Страховой анамнез - не работает, б/л не нужен Б-7, р-3, А-4, менопауза с 50 лет","Страховой анамнез - не работает, б/л не нужен Б-7, р-3, А-4, менопауза с 50 лет",MedSpellChecker
"Образ жизни  : бытовые условия: удовлетворителные; питание: разнообразное, соблюдает диету гиполипидемическую","Образ жизни: бытовые условия: удовлетворительные; питание: разнообразное, соблюдает диету гиполипидемическую",MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ: в течении десяти лет; ИБС; стенокардия напряжения; гастрит хронический; МКБ   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение менее 1 пачки в день; алкоголь злоупотребление   Профессиональные вредности  электросварщик   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное","Хронические заболевания в анамнезе: ГБ: в течение десяти лет; ИБС; стенокардия напряжения; гастрит хронический; МКБ. Наследственность: не отягощена. Страховой анамнез: работает; больничный лист - нет. Аллергологический анамнез: без особенностей. Вредные привычки: курение менее 1 пачки в день; алкоголь - злоупотребление. Профессиональные вредности: электросварщик. Образ жизни: бытовые условия удовлетворительные; питание регулярное, разнообразное.",MedSpellChecker
"Язвеннная болезнь, язва желудка, ремиссия","Язвенная болезнь, язва желудка, ремиссия",MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; ИБС: ПИКС 2008; облитерирующий атеросклероз артерий нижних конечностей; хроническая обструктивная болезнь легких; гастрит хронический   Наследственность:  не отягощена   Страховой анамнез:  не работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает   Образ жизни  : бытовые условия удовлетворительные Эпиданамнез- отрицает гепатит, туберкулез.венерические заболевания, за границу не выезжал","Хронические заболевания в анамнезе: ГБ; ИБС: ПИКС 2008; облитерирующий атеросклероз артерий нижних конечностей; хроническая обструктивная болезнь лёгких; гастрит хронический. Наследственность: не отягощена. Страховой анамнез: не работает; больничный лист нет. Аллергологический анамнез: без особенностей. Вредные привычки: отрицает. Образ жизни: бытовые условия удовлетворительные. Эпиданамнез – отрицает гепатит, туберкулёз, венерические заболевания, за границу не выезжал",MedSpellChecker
Курит 30 лет по 1 пачке в день,Курит 30 лет по 1 пачке в день,MedSpellChecker
"Перенесенные состояния:  травмы переломы: ключицы в 1947 г  операции: по поводу остеомиелита правой ключицы в 1947 г., флебэктомия в апреле 2013 г.  Респираторные заболевания   Хронические заболевания в анамнезе  : варикозная болезнь вен нижних конечностей флебэктомия; гастрит хронический   Наследственность:  заболевания у родственников мать: ИБС   Страховой анамнез:  не работает; инвалидность нет   Вредные привычки:  курение 1 пачка в день; алкоголь только по праздникам   Условия труда  : работал водителем   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное","Перенесённые состояния: травмы переломы: ключицы в 1947 г. операции: по поводу остеомиелита правой ключицы в 1947 г., флебэктомия в апреле 2013 г. Респираторные заболевания. Хронические заболевания в анамнезе: варикозная болезнь вен нижних конечностей флебэктомия; гастрит хронический. Наследственность: заболевания у родственников мать: ИБС. Страховой анамнез: не работает; инвалидность нет. Вредные привычки: курение 1 пачка в день; алкоголь только по праздникам. Условия труда: работал водителем. Профессиональные вредности отрицает. Образ жизни : бытовые условия удовлетворительные; питание регулярное",MedSpellChecker
"Заболевания почек, печени и легких отрицает","Заболевания почек, печени и лёгких отрицает",MedSpellChecker
Перенесенные состояния:  операции: гнойный лимфаденит в молодости.Травмы отрицает,Перенесённые состояния:  операции: гнойный лимфаденит в молодости.Травмы отрицает,MedSpellChecker
Рос и развиваля согласно возрасту,Рос и развивался согласно возрасту,MedSpellChecker
"Тромбофлебит глубоких вен, ремиссия","Тромбофлебит глубоких вен, ремиссия",MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ   Наследственность:  заболевания у родственников отец: перенес ИМ в возрасте 62 лет   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день, стаж 30 лет; алкоголь злоупотребление алкоголя в анамнезе, последние 10 лет алкоголь не употребляет   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное","Хронические заболевания в анамнезе  : ГБ   Наследственность:  заболевания у родственников отец: перенёс ИМ в возрасте 62 лет   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день, стаж 30 лет; алкоголь злоупотребление алкоголя в анамнезе, последние 10 лет алкоголь не употребляет   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное",MedSpellChecker
"Сахарный диабет, тип 2 (на инсулинотреапии","Сахарный диабет, тип 2 (на инсулинотерапии ",MedSpellChecker
"Около года назад пациент перенес острый правосторонний средний гнойный отит, осложененный менингоэнцефалитом (со слов","Около года назад пациент перенёс острый правосторонний средний гнойный отит, осложнённый менингоэнцефалитом (со слов",MedSpellChecker
"инвалидность нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение Курит в течение 30 лет по 0,5 пачек сигарет в день","инвалидность нет. Аллергологический анамнез: без особенностей. Вредные привычки: курение: курит в течение 30 лет по 0,5 пачек сигарет в день",MedSpellChecker
"Туберкулезом, гепатитом не болел","Туберкулёзом, гепатитом не болел",MedSpellChecker
Образование левого надпочечника,Образование левого надпочечника,MedSpellChecker
"Хронические заболевания в анамнезе  : В анмнезе - СД 2 типа, бронхиальная астма (вне обострения), пангипопитуитаризм, гипофизарный нанизм","Хронические заболевания в анамнезе  : В анамнезе - СД 2 типа, бронхиальная астма (вне обострения), пангипопитуитаризм, гипофизарный нанизм",MedSpellChecker
Ушивание раны передней бр,Ушивание раны передней бр,MedSpellChecker
курит (сигареты прима) не менее 1 пачке в день более 40 лет,"курит (сигареты ""Прима"") не менее 1 пачки в день более 40 лет",MedSpellChecker
Перенесенные состояния:   операции: паховая грыжа справа в детстве,Перенесённые состояния: операции: паховая грыжа справа в детстве,MedSpellChecker
"Ранее ИМ, ОНМК не переносил","Ранее ИМ, ОНМК не переносил",MedSpellChecker
Перенесенные состояния:  операции: 1965г,Перенесённые состояния:  операции: 1965г,MedSpellChecker
Жила в г. Новозыбкове Брянская обл - зона радиактивного заражения (после Чернобыля,Жила в г. Новозыбкове Брянская обл. - зона радиоактивного заражения (после Чернобыля),MedSpellChecker
"избыточная маса тела, МКБ","избыточная масса тела, МКБ",MedSpellChecker
"ДДЗП   Наследственность:  заболевания у родственников отец: перенес 3 инфаркта миокарда, после 50 лет   Страховой анамнез:  ; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает   Образ жизни  : гиподинамия","ДДЗП   Наследственность:  заболевания у родственников отец: перенёс 3 инфаркта миокарда, после 50 лет   Страховой анамнез:  ; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает   Образ жизни  : гиподинамия",MedSpellChecker
Брат и сестра здоровы,Брат и сестра здоровы,MedSpellChecker
"В детстве перенесла туберкулез, на учете не состоит, малярией не болела","В детстве перенесла туберкулёз, на учёте не состоит, малярией не болела",MedSpellChecker
травма леваой кисти с ампутацией 3-х пальцев 5 лет назад,травма левой кисти с ампутацией 3-х пальцев 5 лет назад,MedSpellChecker
Хронически заболевания отрицает,Хронические заболевания отрицает,MedSpellChecker
"гепатит В; туберкулез, малярию, сифилис, ВИЧ отрицает","Гепатит В; туберкулёз, малярию, сифилис, ВИЧ отрицает.",MedSpellChecker
работает водителем эксковатора,работает водителем экскаватора,MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; ИБС; хроническая обструктивная болезнь легких: ремиссия   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист есть; дата выдачи больничного листа 06.02.2014   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение более 1 пачки в день в течение 30 лет   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное,Хронические заболевания в анамнезе  : ГБ; ИБС; хроническая обструктивная болезнь лёгких: ремиссия   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист есть; дата выдачи больничного листа 06.02.2014   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение более 1 пачки в день в течение 30 лет   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное,MedSpellChecker
Перитонит (2005 г) в следствие разрыва тонкой кишки,Перитонит (2005 г) в следствие разрыва тонкой кишки,MedSpellChecker
"РХМДиЛ№1 Есиповичем И.Д.- с учетом данных КАГ, рекомендована оценка клиники в динамике, в случае сохранения клиники стенокардии высокого ФК- решение вопроса о дальнейшей реваскуляризации миокарда, повторной попытки стентирования ОА","РХМДиЛ№1 Есиповичем И.Д.- с учётом данных КАГ, рекомендована оценка клиники в динамике, в случае сохранения клиники стенокардии высокого ФК- решение вопроса о дальнейшей реваскуляризации миокарда, повторной попытки стентирования ОА",MedSpellChecker
Родтлся в Нововолынской обл,Родился в Нововолынской обл,MedSpellChecker
"Должность - профессор, академик Российской Академии Метрологии","Должность – профессор, академик Российской Академии Метрологии",MedSpellChecker
Перенесенные состояния:  операции: Флебэктомия справа в апреле 2012 г.   Хронические заболевания в анамнезе  : ГБ; варикозная болезнь вен нижних конечностей; хроническая обструктивная болезнь легких   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист есть; дата выдачи больничного листа 20.09.2013   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день,Перенесённые состояния:  операции: Флебэктомия справа в апреле 2012 г.   Хронические заболевания в анамнезе  : ГБ; варикозная болезнь вен нижних конечностей; хроническая обструктивная болезнь лёгких   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист есть; дата выдачи больничного листа 20.09.2013   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день,MedSpellChecker
"Перенесенные состояния:  операции: аппендэктомия, правосторонняя герниопластика","Перенесённые состояния: операции: аппендэктомия, правосторонняя герниопластика",MedSpellChecker
"Хронические заболевания в анамнезе  : хроническая обструктивная болезнь легких: с 2005 г диагностирована бронхиальная астма - рекомендован беродуал при приступах, базовая терапия (со слов пациента) не назначалась","Хронические заболевания в анамнезе  : хроническая обструктивная болезнь лёгких: с 2005 г диагностирована бронхиальная астма - рекомендован беродуал при приступах, базовая терапия (со слов пациента) не назначалась",MedSpellChecker
Живет в браке,Живёт в браке,MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; облитерирующий атеросклероз артерий нижних конечностей; гастрит хронический; Туберкулёз, ВИЧ, вен","Хронические заболевания в анамнезе  : ГБ; облитерирующий атеросклероз артерий нижних конечностей; гастрит хронический; Туберкулёз, ВИЧ, вен",MedSpellChecker
"1995 год контузия, стрясение головного мозга","1995 год контузия, сотрясение головного мозга",MedSpellChecker
Сын умер (схарный диабет,Сын умер (сахарный диабет,MedSpellChecker
Хронические заболевания в анамнезе  : стенокардия напряжения 1-2 в течении года; облитерирующий атеросклероз артерий нижних конечностей; гастрит хронический   Наследственность:  не отягощена   Аллергологический анамнез  : аллергия на: поллиноз   Вредные привычки:  курение бросил 5 лет назад,Хронические заболевания в анамнезе  : стенокардия напряжения 1-2 в течении года; облитерирующий атеросклероз артерий нижних конечностей; гастрит хронический   Наследственность:  не отягощена   Аллергологический анамнез  : аллергия на: поллиноз   Вредные привычки:  курение бросил 5 лет назад,MedSpellChecker
ДГПЖ(оперирован в 2000 г,ДГПЖ(оперирован в 2000 г,MedSpellChecker
"Хронические заболевания в анамнезе  : остеохондроз позвоночника; язвенная болезнь желудка ремиссия   Наследственность:  заболевания у родственников отец: ГБ, ОНМК   Страховой анамнез:  не работает   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает; алкоголь умеренно   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное","Хронические заболевания в анамнезе  : остеохондроз позвоночника; язвенная болезнь желудка ремиссия   Наследственность:  заболевания у родственников отец: ГБ, ОНМК   Страховой анамнез:  не работает   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает; алкоголь умеренно   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ: не знает; ИБС: с начала февраля 2012; хроническая обструктивная болезнь легких: хронический бронхит курильщика   Наследственность:  не отягощена   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день,Хронические заболевания в анамнезе  : ГБ: не знает; ИБС: с начала февраля 2012; хроническая обструктивная болезнь лёгких: хронический бронхит курильщика   Наследственность:  не отягощена   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день,MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия   Наследственность:  заболевания у родственников мать: ОНМК   Страховой анамнез:  не работает   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день,Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия   Наследственность:  заболевания у родственников мать: ОНМК   Страховой анамнез:  не работает   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день,MedSpellChecker
Работала обходчицей в метро 40лет,Работала обходчицей в метро 40 лет,MedSpellChecker
"Наследственность:  заболевания у родственников мать: ИБС, ГБ   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение менее 1 пачки в день   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное; занятие спортом: не регулярно","Наследственность: заболевания у родственников мать: ИБС, ГБ. Страховой анамнез: работает; больничный лист нет. Аллергологический анамнез: без особенностей. Вредные привычки: курение менее 1 пачки в день. Профессиональные вредности отрицает. Образ жизни: бытовые условия удовлетворительные; питание регулярное; занятие спортом: не регулярно",MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; ИБС   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день, последний месяц не курит","Хронические заболевания в анамнезе  : ГБ; ИБС   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение 1 пачка в день, последний месяц не курит",MedSpellChecker
Работает реставратором,Работает реставратором,MedSpellChecker
"Перенесенные состояния:  Респираторные заболевания   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение   Условия труда  : работает в торговле, частые командировки","Перенесённые состояния: респираторные заболевания. Аллергологический анамнез: без особенностей. Вредные привычки: курение. Условия труда: работает в торговле, частые командировки.",MedSpellChecker
Со своих слов никогда и ничем не болела,Со своих слов никогда и ничем не болела,MedSpellChecker
"Куриил в течение 40 лет по 5 сигарет в день, не курит с 01.2013г","Курил в течение 40 лет по 5 сигарет в день, не курит с 01.2013 г",MedSpellChecker
Страховой анамнез:  не работает; больничный лист нет   Аллергологический анамнез  : аллергия на: отек Квинке - на что - не знает,Страховой анамнез:  не работает; больничный лист нет   Аллергологический анамнез  : аллергия на: отёк Квинке - на что - не знает,MedSpellChecker
"Рос и развивался в детстве не отставая от сверстников  Туберкулез, гепатит, малярию, венерические заболевания отрицает","Рос и развивался в детстве не отставая от сверстников  Туберкулёз, гепатит, малярию, венерические заболевания отрицает",MedSpellChecker
Клиппирование язвы в апреле 2015г,Клиппирование язвы в апреле 2015 г,MedSpellChecker
"Наследственность:  не отягощена   Аллергологический анамнез  : аллергия на: левомицетин-сыпь   Вредные привычки:  курение бросил курить более 17 лет назад   Профессиональные вредности  отрицает   Образ жизни  : гиподинамия; Гепатит, туберкулез, венерич заболевания отрицает","Наследственность:  не отягощена   Аллергологический анамнез  : аллергия на: левомицетин-сыпь   Вредные привычки:  курение бросил курить более 17 лет назад   Профессиональные вредности  отрицает   Образ жизни  : гиподинамия; Гепатит, туберкулёз, венерич заболевания отрицает",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ: около 10 лет; ИБС: дебют 13.05.13 - Q ИМ нижней ст.ЛЖ; варикозная болезнь вен нижних конечностей; Аденомэктомия от 24.04.2013г,Хронические заболевания в анамнезе  : ГБ: около 10 лет; ИБС: дебют 13.05.13 - Q ИМ нижней ст.ЛЖ; варикозная болезнь вен нижних конечностей; Аденомэктомия от 24.04.2013г,MedSpellChecker
Хр.заболевания отрицает,Хр. заболевания отрицает,MedSpellChecker
"Перенесенные состояния:  операции Холецистэктомия: В 2000х годах, Аппендэктомия: В молодости   Хронические заболевания в анамнезе  : ИБС; хроническая обструктивная болезнь легких   Наследственность:  не отягощена   Страховой анамнез:  не работает   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; занятие спортом","Перенесённые состояния: операции холецистэктомия: В 2000-х годах, аппендэктомия: в молодости. Хронические заболевания в анамнезе: ИБС; хроническая обструктивная болезнь лёгких. Наследственность: не отягощена. Страховой анамнез: не работает. Аллергологический анамнез: без особенностей. Вредные привычки: отрицает. Профессиональные вредности отрицает. Образ жизни: бытовые условия удовлетворительные; питание регулярное, разнообразное; занятие спортом",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; ИБС; варикозная болезнь вен нижних конечностей; ДТП в 1971,Хронические заболевания в анамнезе: ГБ; ИБС; варикозная болезнь вен нижних конечностей; ДТП в 1971,MedSpellChecker
Ранее на учете каких-либо специалистов не состоял,Ранее на учёте каких-либо специалистов не состоял,MedSpellChecker
Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет; дата выдачи больничного листа 27.06.2013   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение курил по 1 пачке в день в теч,Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет; дата выдачи больничного листа 27.06.2013   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение курил по 1 пачке в день в теч,MedSpellChecker
"Гепатит, туберкулез, СД, бронхильную астму отрицает","Гепатит, туберкулёз, СД, бронхиальную астму отрицает",MedSpellChecker
Живет с женой и с 4 детьми,Живёт с женой и с 4 детьми,MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; ИБС; гастрит; ревматоидный артрит, ХОБЛ,   Наследственность:  не отягощена   Страховой анамнез:  не работает   Вредные привычки:  курение более 1 пачки в день; алкоголь злоупотребление, закодирован на 3 года","Хронические заболевания в анамнезе  : ГБ; ИБС; гастрит; ревматоидный артрит, ХОБЛ,   Наследственность:  не отягощена   Страховой анамнез:  не работает   Вредные привычки:  курение более 1 пачки в день; алкоголь злоупотребление, закодирован на 3 года",MedSpellChecker
"Курит в течение 25 лет по 1-1,5 пачке/день","Курит в течение 25 лет по 1-1,5 пачке/день",MedSpellChecker
"хроническая обструктивная болезнь легких: Хронический бронхит, вне обострения","хроническая обструктивная болезнь лёгких: Хронический бронхит, вне обострения",MedSpellChecker
"Хронические заболевания в анамнезе  : отрицает, оперативных вмешательств не было    Наследственность:  заболевания у родственников отец: разрав аневризмы в 60 лет, мать: ОИМ в 60 лет    Страховой анамнез:  работает; Предприниматель, больничный лист не нужен    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение 1 пачка в день    Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное","Хронические заболевания в анамнезе: отрицает, оперативных вмешательств не было. Наследственность: заболевания у родственников отец: разрыв аневризмы в 60 лет, мать: ОИМ в 60 лет. Страховой анамнез: работает; предприниматель, больничный лист не нужен.    Аллергологический анамнез: без особенностей. Вредные привычки: курение 1 пачка в день. Образ жизни: бытовые условия удовлетворительные; питание регулярное, разнообразное",MedSpellChecker
инвалидность нет    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение Последние 10 лет курение отрицает,инвалидность нет    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение Последние 10 лет курение отрицает,MedSpellChecker
"в 47 лет - маточное кровотечение, в дальнейшем рецидивов нет","в 47 лет - маточное кровотечение, в дальнейшем рецидивов нет",MedSpellChecker
"туберкулез, малярию, ВИЧ, сифилис отрицает","туберкулёз, малярию, ВИЧ, сифилис отрицает",MedSpellChecker
Перенесенные состояния:  травмы переломы: нижней челюсти более 20 лет назад   Хронические заболевания в анамнезе  : ГБ; варикозная болезнь вен нижних конечностей; хроническая обструктивная болезнь легких; гастрит хронический; ожирение 2,Перенесённые состояния: травмы переломы: нижней челюсти более 20 лет назад. Хронические заболевания в анамнезе: ГБ; варикозная болезнь вен нижних конечностей; хроническая обструктивная болезнь лёгких; гастрит хронический; ожирение 2.,MedSpellChecker
"Курил более 20 лет, не курит 33 года, алкоголем не злоупотребляет, прием наркотиков отрицает","Курил более 20 лет, не курит 33 года, алкоголем не злоупотребляет, приём наркотиков отрицает",MedSpellChecker
Перенесенные состояния:   операции: отрицает   Респираторные заболевания    Хронические заболевания в анамнезе  : ГБ; остеохондроз позвоночника; облитерирующий атеросклероз артерий нижних конечностей; ЦВБ паркинсонизм,Перенесённые состояния: операции: отрицает. Респираторные заболевания. Хронические заболевания в анамнезе: ГБ; остеохондроз позвоночника; облитерирующий атеросклероз артерий нижних конечностей; ЦВБ паркинсонизм,MedSpellChecker
инвалидность 2 группы,инвалидность 2 группы,MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия напряжения; гастрит хронический   Наследственность:  заболевания у родственников отец: страдал ГБ, мать: страдала ГБ   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение менее 1 пачки в день; алкоголь в выходные дни   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия","Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия напряжения; гастрит хронический   Наследственность:  заболевания у родственников отец: страдал ГБ, мать: страдала ГБ   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение менее 1 пачки в день; алкоголь в выходные дни   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия",MedSpellChecker
"Вредные привычки:  : курит умеренно, алкоголь редко","Вредные привычки: курит умеренно, алкоголь редко.",MedSpellChecker
по 13.02.13г,по 13.02.13 г,MedSpellChecker
малоподвижная   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное; занятие спортом: на любительском уровне,малоподвижная   Профессиональные вредности  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное; занятие спортом: на любительском уровне,MedSpellChecker
Наследственность:  заболевания у родственников отец: умер от ОИМ в возрасте 70 лет,Наследственность:  заболевания у родственников отец: умер от ОИМ в возрасте 70 лет,MedSpellChecker
Перенесенные состояния:  вирусный гепатит А,Перенесённые состояния:  вирусный гепатит А,MedSpellChecker
Перенесенные состояния:   травмы переломы: нижней челюсти многократные   операции Холецистэктомия: 2011г,Перенесённые состояния: травмы: переломы: нижней челюсти многократные;  операции: холецистэктомия: 2011 г.,MedSpellChecker
Есть дочь    Хронические заболевания в анамнезе  : в феврале 2014г - лапароскопическая герниопластика по поводу двусторонней паховой грыжи,Есть дочь. Хронические заболевания в анамнезе: в феврале 2014г - лапароскопическая герниопластика по поводу двусторонней паховой грыжи,MedSpellChecker
