source,correction,domain
"Смешать апельсиновый сок, уксус, горчицу, мед и масло, заправить салат, посолить, поперчить, разложить по тарелкам.",Смешать апельсиновый сок уксус горчицу мед и масло заправить салат посолить поперчить разложить по тарелкам,RUSpellRU
"Приехали мы уже ближе к вечеру, пока заселились - стемнело.",Приехали мы уже ближе к вечеру пока заселились стемнело,RUSpellRU
"либо и небыло никогда любви то, либо действительно нам без них - МУЖУКОВ никуда!!!",либо и не было никогда любви-то либо действительно нам без них МУЖИКОВ никуда,RUSpellRU
"Теоретиков тоже в мире больше, чем надо.",Теоретиков тоже в мире больше чем надо,RUSpellRU
"Сегодяшние утренние планы умеренно пострадали, к сожалению.",Сегодняшние утренние планы умеренно пострадали к сожалению,RUSpellRU
Навверное он сейчас уже проклинает не хорошими словами меня...,Наверное он сейчас уже проклинает нехорошими словами меня,RUSpellRU
Немог долго уснуть этой ночью.,Не мог долго уснуть этой ночью,RUSpellRU
"Посколько отчет деловито и весело уже написан, не буду ничего переписывать, а линк вот он",Поскольку отчет деловито и весело уже написан не буду ничего переписывать а линк вот он,RUSpellRU
Так ли влияет на качество напитка распечатывание?,Так ли влияет на качество напитка распечатывание,RUSpellRU
"Мывключились впроект натой стадии, когда автоматизированные системы вкомпании уже существовали наразных стадиях внедрения.",Мы включились в проект на той стадии когда автоматизированные системы в компании уже существовали на разных стадиях внедрения,RUSpellRU
Компьюьерные мониторы для людей с плохим зрением,Компьютерные мониторы для людей с плохим зрением,RUSpellRU
"Дольше можно делать и булки, и ватрушки, и пироги, и пирожки с любой начинкой.",Дольше можно делать и булки и ватрушки и пироги и пирожки с любой начинкой,RUSpellRU
"А на самом деле, просто начальнег активно со мной дружился, а начальнице - его жене, это сильно не понравилось.",А на самом деле просто начальник активно со мной дружился а начальнице его жене это сильно не понравилось,RUSpellRU
"Расмотрим все необходимые составляющие "" революционного процесса "".",Рассмотрим все необходимые составляющие революционного процесса,RUSpellRU
Заити вконтакт без смс,Зайти вконтакт без смс,RUSpellRU
"Рестаран оказался очень достойным, по настоящему итальянское место.",Ресторан оказался очень достойным по-настоящему итальянское место,RUSpellRU
"Я категорически отказалась сочинять скорбные строки о живом человеке; ведь и за здравие умерших нельзя молиться, а уж за упокой здравствующих - вообще кощунство и грех.",Я категорически отказалась сочинять скорбные строки о живом человеке ведь и за здравие умерших нельзя молиться а уж за упокой здравствующих вообще кощунство и грех,RUSpellRU
Потреяна последняя надежда на общение.,Потеряна последняя надежда на общение,RUSpellRU
"Однако и в последние дни бархатного сезона в городе еще есть, чем полюбоваться и чему удивиться.",Однако и в последние дни бархатного сезона в городе еще есть чем полюбоваться и чему удивиться,RUSpellRU
"Перед сном записывайте по одной вещи, за которую вы благодарны.",Перед сном записывайте по одной вещи за которую вы благодарны,RUSpellRU
"Если раньше, несколько лет назад я друзьями называла всех, кто мне доброжелательно улыбнется, то сейчас...",Если раньше несколько лет назад я друзьями называла всех кто мне доброжелательно улыбнется то сейчас,RUSpellRU
Ненавидшь бардов - независимо мыслящаю личность.,Ненавидишь бардов независимо мыслящая личность,RUSpellRU
"неее, думаю что я его опереЖУ - и выключу ноут - патамушта он долго ищет )",не думаю что я его опережу и выключу ноут потому что он долго ищет,RUSpellRU
"Убрть мишуру, быть просто собой.",Убрать мишуру быть просто собой,RUSpellRU
Как раз перед ним был километровый столб.,Как раз перед ним был километровый столб,RUSpellRU
Процедудура отбеливания зубов в краснодаре,Процедура отбеливания зубов в Краснодаре,RUSpellRU
"Прийдя домой не верилось, что ТАКОЕ произошло и неверилось, что все обошлось!",Придя домой не верилось что такое произошло и не верилось что все обошлось,RUSpellRU
"Вот интересно, австралиец Мердок критикует вопросы политической жизни США.",Вот интересно австралиец Мердок критикует вопросы политической жизни США,RUSpellRU
"Атаман свистнул своим ребятам, хлопчика тут же подхватили и понесли в госпиталь, а мы с Любашей побежали следом.",Атаман свистнул своим ребятам хлопчика тут же подхватили и понесли в госпиталь а мы с Любашей побежали следом,RUSpellRU
Коммуниисты неплохо креативят в Волгограде накануне выборов в гордуму.,Коммунисты неплохо креативят в Волгограде накануне выборов в гордуму,RUSpellRU
Я даже припоминаю картинку из советских учебников истории.,Я даже припоминаю картинку из советских учебников истории,RUSpellRU
"Мы миpные люди, мы миp беpежем,",Мы миpные люди мы миp беpежем,RUSpellRU
Но седня свредничала - заставила продавщицу 2 раза перевешивать!,Но сегодня свредничала заставила продавщицу 2 раза перевешивать,RUSpellRU
"Вижазисты комментируют, что в этой работе трудностей нет никаких: лицо выбеленное, слезки невнятные.",Вижазисты комментируют что в этой работе трудностей нет никаких лицо выбеленное слезки невнятные,RUSpellRU
"Итак, завтра защита диплома, после которой я мечтаю навсегда распрощаться со своей научной руководительницей.",Итак завтра защита диплома после которой я мечтаю навсегда распрощаться со своей научной руководительницей,RUSpellRU
А какому стилю музыки вы сами отдаете предпочтение?,А какому стилю музыки вы сами отдаете предпочтение,RUSpellRU
Об Аввакуме узнал из постов Булочникова и до сих пор он иногда репостит материалы Олега.,Об Аввакуме узнал из постов Булочникова и до сих пор он иногда репостит материалы Олега,RUSpellRU
"Незная отдыха и сна, слова сплетая, граматику не упаская, поэт творил.",Не зная отдыха и сна слова сплетая грамматику не упуская поэт творил,RUSpellRU
Ответсвенно заявляю.,Ответственно заявляю,RUSpellRU
Установила словарик Lingvo на компьютер.,Установила словарик Lingvo на компьютер,RUSpellRU
Все сложно и оооочень бесит.,Все сложно и очень бесит,RUSpellRU
Так уж получаеться что Эти люди встают между тобой и твоей Смертью.,Так уж получается что эти люди встают между тобой и твоей смертью,RUSpellRU
"вобщем любую моральную поддержку, в виде живой души, в тот момент.",в общем любую моральную поддержку в виде живой души в тот момент,RUSpellRU
вопщем будет тебе кофэ и какава с чаем ),в общем будет тебе кофе и какао с чаем,RUSpellRU
Причем так сильно что я даже ахнула.,Причем так сильно что я даже ахнула,RUSpellRU
потомучто коньюктевит может настигнуть не только Уму Турман и моего соседа по даче ;),потому что конъюнктивит может настигнуть не только Уму Турман и моего соседа по даче,RUSpellRU
"А потом можна увольняться и хоть в Патагонию, хоть в Гондурас.",А потом можно увольняться и хоть в Патагонию хоть в Гондурас,RUSpellRU
"Спокойно и неторопясь расселись, едут, молчат.",Спокойно и не торопясь расселись едут молчат,RUSpellRU
мне нравится мужик в сером накидке с рисунко...,мне нравится мужик в серой накидке с рисунком,RUSpellRU
Скачать дополнение для оперы што бы скачивать в контакте,Скачать дополнение для оперы чтобы скачивать в контакте,RUSpellRU
"И если б не этот год в моей жизни никогда б небыло таких замечательно теплых Вовки и Аси, Ольги, Мишани и ежика, Дюши и еще многих других!",И если б не этот год в моей жизни никогда б не было таких замечательно теплых Вовки и Аси Ольги Мишани и ежика Дюши и еще многих других,RUSpellRU
"Малчик читал с упоением Сухинова -- продолжения "" Волшебника Изумрудного города "", имхо, бякость страшная, но читал.",Мальчик читал с упоением Сухинова продолжение Волшебника Изумрудного города имхо бякость страшная но читал,RUSpellRU
"Тебя ощущала, в тебе растворяясь.",Тебя ощущала в тебе растворяясь,RUSpellRU
А в подземельях замка выставлены различные орудия пыток.,А в подземельях замка выставлены различные орудия пыток,RUSpellRU
"существуют люди у которых не голова, а непонятно что.",существуют люди у которых не голова а непонятно что,RUSpellRU
"Тогдасоответственно говорят о язычной, гортанной или носоглоточной ангине.",Тогда соответственно говорят о язычной гортанной или носоглоточной ангине,RUSpellRU
Розврат то каков!,Разврат-то каков,RUSpellRU
"За то, что щеки не могут улыбаться уже, потомучто болят.",За то что щеки не могут улыбаться уже потому что болят,RUSpellRU
"И соглашаешься с ними, что ветер живой, что его сила безгранична, и только когда ты на вершине мира, ты не боишься его, ты часть ветра и ветер часть тебя, мы единое целое.",И соглашаешься с ними что ветер живой что его сила безгранична и только когда ты на вершине мира ты не боишься его ты часть ветра и ветер часть тебя мы единое целое,RUSpellRU
Потоиу и взываю к опыту сообщников,Потому и взываю к опыту сообщников,RUSpellRU
Сапсибо тебе за внимание к моему ЖЖ!,Спасибо тебе за внимание к моему ЖЖ,RUSpellRU
"В центре очень много магазинов, где можна купить марионетки разных размеров ( от спичечного коробка до почти человеческого роста ) и персонажей.",В центре очень много магазинов где можно купить марионетки разных размеров от спичечного коробка до почти человеческого роста и персонажей,RUSpellRU
"Тасовоать карты ни в коем случае нельзя, скорее потому что выглядит это странно.",Тасовать карты ни в коем случае нельзя скорее потому что выглядит это странно,RUSpellRU
В следущий раз будет лучше.,В следующий раз будет лучше,RUSpellRU
"Лучше молчать и слыть идиотом, чем заговорить и развеять все сомнения.",Лучше молчать и слыть идиотом чем заговорить и развеять все сомнения,RUSpellRU
"Как ни удивительно, но я сумела побороть свою лень, и взять-таки с собой форму на физкультуру...",Как ни удивительно но я сумела побороть свою лень и взять-таки с собой форму на физкультуру,RUSpellRU
"Из сообщения местных властей нельзя сделать вывод, является ли список окончательным.",Из сообщения местных властей нельзя сделать вывод является ли список окончательным,RUSpellRU
"Обидно, что на многих фотках я в куртке, т.к. было довольно прохладно.",Обидно что на многих фотках я в куртке т.к. было довольно прохладно,RUSpellRU
"Ладно, я разрешаю тебе какие-то силы ( допустим 100 легких лучников ) иметь в своем распоряжении - для поддержания внутреннего порядка.",Ладно я разрешаю тебе какие-то силы допустим 100 легких лучников иметь в своем распоряжении для поддержания внутреннего порядка,RUSpellRU
"Не знаю, нужно ли тебе сказать "" спасибо "", что ты предвидела этот момент...",Не знаю нужно ли тебе сказать спасибо что ты предвидела этот момент,RUSpellRU
"Основныой причиной по которой я сделал такой выбор, является то, что я очень хочу стабильности в стране...",Основной причиной по которой я сделал такой выбор является то что я очень хочу стабильности в стране,RUSpellRU
"Одна из функций рекламы - образовательная, значит она, как и искусство, является способом познания ( пусть и ну оочень особым ).",Одна из функций рекламы образовательная значит она как и искусство является способом познания пусть и ну очень особым,RUSpellRU
такой вобще не существует причины,такой вообще не существует причины,RUSpellRU
ну тоесть она лежит с вытащенным языком!,ну то есть она лежит с вытащенным языком,RUSpellRU
"К сожалению, по большей части, это нецензурная брань или откровенное нытье.",К сожалению по большей части это нецензурная брань или откровенное нытье,RUSpellRU
Победители и призеры награждаются дипломами и ценными подарками.,Победители и призеры награждаются дипломами и ценными подарками,RUSpellRU
"а ведь часто так и бывает, свободного времени мало становится, дети, работа и фсе такое...",а ведь часто так и бывает свободного времени мало становится дети работа и все такое,RUSpellRU
""" Ты не видела, где мои носки?",Ты не видела где мои носки,RUSpellRU
"Ошибчно считать, что раздача ключей ведется только в одном направлении - от сервера к пользователю.",Ошибочно считать что раздача ключей ведется только в одном направлении от сервера к пользователю,RUSpellRU
Опаздываю седня на работу страааашно.,Опаздываю сегодня на работу страшно,RUSpellRU
"Раасстраиваться от мысли, что плохо снюсь во снах твоих-бред!",Расстраиваться от мысли что плохо снюсь во снах твоих бред,RUSpellRU
"просто показалось, что за ночь он както поменялся, толи подушкой я его придавила!",просто показалось что за ночь он как-то поменялся то ли подушкой я его придавила,RUSpellRU
"Но сегодня мне снилось, что я ей звонил.",Но сегодня мне снилось что я ей звонил,RUSpellRU
"А ночи сейчас хорошие, какие-то странные, мистические, они мне нравяться...",А ночи сейчас хорошие какие-то странные мистические они мне нравятся,RUSpellRU
В отличие от рассмотренных выше проектов крупных порталов этот специализированный ресурс занимается только фотохостингом.,В отличие от рассмотренных выше проектов крупных порталов этот специализированный ресурс занимается только фотохостингом,RUSpellRU
На завтрак меня ждали...,На завтрак меня ждали,RUSpellRU
"Вначале мы с полчаса стояли в здании, пока нас не отвели на площадку.",Вначале мы с полчаса стояли в здании пока нас не отвели на площадку,RUSpellRU
"Я пришла домой на час раньше, чем следовало бы...",Я пришла домой на час раньше чем следовало бы,RUSpellRU
"потому, что я просто уже замерзла - не, ну ни один обогреватель не помогает ( окромя мужчины канешна )!!!",потому что я просто уже замерзла не ну ни один обогреватель не помогает окромя мужчины конечно,RUSpellRU
"Компнаия превратит ваших близких в урны, алмазы, фарш, листья ясеня.",Компания превратит ваших близких в урны алмазы фарш листья ясеня,RUSpellRU
Празнег жуть но пусть будет - повод встретицца с друзьями и подругами...,Праздник жуть но пусть будет повод встретиться с друзьями и подругами,RUSpellRU
"Нажусь в непонятном состоянии, настроение - то ли прекрасное, то ли паршивое.",Нахожусь в непонятном состоянии настроение то ли прекрасное то ли паршивое,RUSpellRU
"Конечно же, не обойдется без конкурсов с призами от спонсоров!",Конечно же не обойдется без конкурсов с призами от спонсоров,RUSpellRU
Следуюшей после джо в книжке идет точка закипания.,Следующей после джо в книжке идет точка закипания,RUSpellRU
"Электонная система Сайлау покажет тот процент "" ЗА "", который будет заложен в нее комитетом нацбезопасности, где стоит параллельный центральный сервер.",Электронная система Сайлау покажет тот процент ЗА который будет заложен в нее комитетом нацбезопасности где стоит параллельный центральный сервер,RUSpellRU
"Завтрак вполне приличный, незнаю кому он кажется скудным: несколько видов йогуртов, колбасы, сыра, булок, пирогов, джемов.",Завтрак вполне приличный не знаю кому он кажется скудным несколько видов йогуртов колбасы сыра булок пирогов джемов,RUSpellRU
"И ваще, интернет - почти как телевизор - наркотикоподобен.",И вообще интернет почти как телевизор наркотикоподобен,RUSpellRU
"Огранизмы тут же затеяли возню, стали брыкаться, визжать и медитировать мешали.",Организмы тут же затеяли возню стали брыкаться визжать и медитировать мешали,RUSpellRU
"Обучно она воду пытается пить из кружки, в которой я мою стеки и руки.",Обычно она воду пытается пить из кружки в которой я мою стеки и руки,RUSpellRU
"Дооолго шли, солнце уже садится стало, в лесу слышны залпы - тревога в княжестве, ищут нас - беглянок.",Долго шли солнце уже садиться стало в лесу слышны залпы тревога в княжестве ищут нас беглянок,RUSpellRU
некотрые ничево не соображали вообще с небольшой затратой време ни удалось доиграть...,некоторые ничего не соображали вообще с небольшой затратой времени удалось доиграть,RUSpellRU
"Полиция сказала, что на Карловом мосту нет видеокамер ( наверное, чтобы не портить исторический вид ).",Полиция сказала что на Карловом мосту нет видеокамер наверное чтобы не портить исторический вид,RUSpellRU
"Только сегодня работала с клиенткой про переживание того, что "" непонятные неожидаемые собственные чувства и переживания, непонятные их истоки означают, будто меня нет "".",Только сегодня работала с клиенткой про переживание того что непонятные неожидаемые собственные чувства и переживания непонятные их истоки означают будто меня нет,RUSpellRU
На Серебрянном дожде я слушала переодически его программу про джаз.,На Серебряном дожде я слушала периодически его программу про джаз,RUSpellRU
"Однажды в этот мелкий город приедет какая-нибудь старая рок звезда, настоящий талант прошлых поколений, и поскольку моя группа будет единственной в городе, не прийдется разбираться, кто выступит на разогреве.",Однажды в этот мелкий город приедет какая-нибудь старая рок-звезда настоящий талант прошлых поколений и поскольку моя группа будет единственной в городе не придется разбираться кто выступит на разогреве,RUSpellRU
"Считала седня по календарику и теперь зачеркиваю крестики, в ожидании весны!",Считала сегодня по календарику и теперь зачеркиваю крестики в ожидании весны,RUSpellRU
"Мало того, что они ходят только вперед, так еще дойдя до конца, становятся королевой.",Мало того что они ходят только вперед так еще дойдя до конца становятся королевой,RUSpellRU
Написпл коммента он куда-то пропал...,Написал коммент а он куда-то пропал,RUSpellRU
"Выводок чудябриков полюбому будет со мной, я их в мастерскую отвозить буду.",Выводок чудябриков по-любому будет со мной я их в мастерскую отвозить буду,RUSpellRU
Я сплавлю вас вместе на все времена!,Я сплавлю вас вместе на все времена,RUSpellRU
ну вобщем признаков нет и беременности нет!,ну в общем признаков нет и беременности нет,RUSpellRU
"Ну, была еше одна, заменить, что ли?",Ну была еще одна заменить что ли,RUSpellRU
"Реклма Пепси советует нам помнить о прошлом, но жить здесь и сейчас.",Реклама Пепси советует нам помнить о прошлом но жить здесь и сейчас,RUSpellRU
"В интернете более общительный, чем в реальной жизни.",В интернете более общительный чем в реальной жизни,RUSpellRU
"Ослуживание безупречноне, а цена - как раз такая, что вы ищите.",Ослуживание безупречное а цена как раз такая что вы ищете,RUSpellRU
"А раз есть о чем мечтать, значит есть к чему стремиться.",А раз есть о чем мечтать значит есть к чему стремиться,RUSpellRU
ты с какова раена объясни сначало!,ты с какого района объясни сначала,RUSpellRU
"Пролжительность занятий небльшая, всего 3 дня.",Продолжительность занятий небольшая всего 3 дня,RUSpellRU
Хочу завтра прикупить какой-нибудь симпотичный удобный блокнот или тетрадь.,Хочу завтра прикупить какой-нибудь симпатичный удобный блокнот или тетрадь,RUSpellRU
"Всегда чувствовать себя у черты, что ведет к счастью и никогда не переступить этой черты.",Всегда чувствовать себя у черты что ведет к счастью и никогда не переступить этой черты,RUSpellRU
Всякый кто выжил героем продул этот бой,Всякий кто выжил героем продул этот бой,RUSpellRU
"Незнаюкто оказался главным редактором, а совет его был похожим на мамин.",Не знаю кто оказался главным редактором а совет его был похожим на мамин,RUSpellRU
"Мужчинаи женщина не могут жить друг без друга, но частенько случается, что идруг с другом им становится тяжеловато.",Мужчина и женщина не могут жить друг без друга но частенько случается что и друг с другом им становится тяжеловато,RUSpellRU
Желаю чтоб на твоем жизненном пути небыло вообще никаких неприятностей.,Желаю чтоб на твоем жизненном пути не было вообще никаких неприятностей,RUSpellRU
"Давольно большая цифра для 15 квадратов, на которых эти милые звери живут.",Довольно большая цифра для 15 квадратов на которых эти милые звери живут,RUSpellRU
"Уж не знаю, кто ей порекомендовал для такой роли меня, наверное, кто-то в Спорткомитете.",Уж не знаю кто ей порекомендовал для такой роли меня наверное кто-то в Спорткомитете,RUSpellRU
но чувствую чтото нето в этой газели.,но чувствую что-то не то в этой газели,RUSpellRU
"А то последнее время раньше восьми встать не получалось, а в универ необходимо к 9.30 прибыть...",А то последнее время раньше восьми встать не получалось а в универ необходимо к 9.30 прибыть,RUSpellRU
Угошали вчера своей едой.,Угощали вчера своей едой,RUSpellRU
Отркрыл для себя лыжный сезон ( наконец-то ).,Открыл для себя лыжный сезон наконец-то,RUSpellRU
Подделаная подпись по определению неаутентична даже если мы не можем подделку распознать.,Подделанная подпись по определению неаутентична даже если мы не можем подделку распознать,RUSpellRU
Подрбный отчет в новом году!,Подробный отчет в новом году,RUSpellRU
"Нам нужно признать и отучиться от нашей внутренней мизогинии, так чтобы мы смогли преуспеть и спасти этот больной мир.",Нам нужно признать и отучиться от нашей внутренней мизогинии так чтобы мы смогли преуспеть и спасти этот больной мир,RUSpellRU
"Последователи Тантры скажут вам, что если у вас нет времени изучить своего партнера, вы никогда его не узнаете.",Последователи Тантры скажут вам что если у вас нет времени изучить своего партнера вы никогда его не узнаете,RUSpellRU
Я наверно никогда не чувствовала себя такой защищенной.,Я наверно никогда не чувствовала себя такой защищенной,RUSpellRU
Эти люди очень принципиальны и готовы преодолеть многие трудности во имя своих идеалов.,Эти люди очень принципиальны и готовы преодолеть многие трудности во имя своих идеалов,RUSpellRU
"Город можно расценивать по его ритму, в Киеве самый высокий ритм, а когда я приезжаю в Х, то кажется что город стоит на паузе.",Город можно расценивать по его ритму в Киеве самый высокий ритм а когда я приезжаю в Х то кажется что город стоит на паузе,RUSpellRU
"В зале на одной из стен находятся надписи, сделанные якобы классиками.",В зале на одной из стен находятся надписи сделанные якобы классиками,RUSpellRU
"Обдумывю что с ним делать и как, постинги, комментарии, оформление...",Обдумываю что с ним делать и как постинги комментарии оформление,RUSpellRU
"Вечром мы снова вкусно ели и долго спали, все исключительно для того чтобы проснуться к вкусному завтраку.",Вечером мы снова вкусно ели и долго спали все исключительно для того чтобы проснуться к вкусному завтраку,RUSpellRU
"ктото жертвует всем ради любви и идет на престуление, а кто то совершает подвиги во имя любви, кто то отторгает себя и посвящается любимому человеку а кто то заставляте ради нее же посвящаться ему.",кто-то жертвует всем ради любви и идет на преступление а кто то совершает подвиги во имя любви кто-то отторгает себя и посвящается любимому человеку а кто-то заставляет ради нее же посвящаться ему,RUSpellRU
"Жыгули ( она же классика ) стоят на конвейере 30 с лишним лет, являясь, по существу, убогой копией Фиата середины 60х, Приора с Калиной - унылые образцы дизайна 15 летней и технологий 40 летней давности.",Жигули она же классика стоят на конвейере 30 с лишним лет являясь по существу убогой копией Фиата середины 60-х Приора с Калиной унылые образцы дизайна 15-летней и технологий 40-летней давности,RUSpellRU
"Суп проще вылить в последний день и сказать, что да, было очень вкусно.",Суп проще вылить в последний день и сказать что да было очень вкусно,RUSpellRU
"Отечетсвенные банки в основном работали с корпоративным сектором, а его состояние сейчас, мягко говоря, не блестящее.",Отечественные банки в основном работали с корпоративным сектором а его состояние сейчас мягко говоря не блестящее,RUSpellRU
Ваш партнер не является вашим врагом.,Ваш партнер не является вашим врагом,RUSpellRU
"вобщем, вижу цель, препятствий не вижу )",в общем вижу цель препятствий не вижу,RUSpellRU
Снова подборка светильников по личному вкусу.,Снова подборка светильников по личному вкусу,RUSpellRU
"Даже детей своих угомонили, что само по себе редкость.",Даже детей своих угомонили что само по себе редкость,RUSpellRU
Началасвою карьеру ди-джея в 2007 году.,Начала свою карьеру ди-джея в 2007 году,RUSpellRU
"Вадим во время важных совещаний прячется под столом, зачитываясь медицинскими журналами.",Вадим во время важных совещаний прячется под столом зачитываясь медицинскими журналами,RUSpellRU
"Врут зеркала, что красота померкла, врут зеркала, что молодость ушла.",Врут зеркала что красота померкла врут зеркала что молодость ушла,RUSpellRU
"Отметил новый год в больнице, подарив старому свой апендикс ( незнаю, честно говоря как правильно пишется это слово - не казнить ).",Отметил новый год в больнице подарив старому свой аппендикс не знаю честно говоря как правильно пишется это слово не казнить,RUSpellRU
"Приведемпримеры полного несоответствия проекта многим параметрам, что и вызвало социальную напряженность на Загорянке.",Приведем примеры полного несоответствия проекта многим параметрам что и вызвало социальную напряженность на Загорянке,RUSpellRU
Прыятно познакомицца!,Приятно познакомиться,RUSpellRU
"Моий бос бывает крайне неадекватен, а иногда и более того, зачем ему вдруг понадобился мой приезд, я так и немогу понять, ну окей я буду.",Мой босс бывает крайне неадекватен а иногда и более того зачем ему вдруг понадобился мой приезд я так и не могу понять ну окей я буду,RUSpellRU
Монастрырь был очень большое и красивый.,Монастырь был очень большой и красивый,RUSpellRU
"В деревне жил старик, очень бедный, но даже короли завидовали ему, так как у него был прекрасный белый конь.",В деревне жил старик очень бедный но даже короли завидовали ему так как у него был прекрасный белый конь,RUSpellRU
"Правосланая Церковь - является единой и соборной, а потому ни кого из ее членов не может не волновать судьба своих братьев-единоверцев, где бы они не находились.",Православная Церковь является единой и соборной а потому никого из ее членов не может не волновать судьба своих братьев-единоверцев где бы они ни находились,RUSpellRU
"Это же не развалины средневекового замка, где можно найти, если повезет, сундук пиастров или череп бедного Йорика.",Это же не развалины средневекового замка где можно найти если повезет сундук пиастров или череп бедного Йорика,RUSpellRU
