source,correction,domain
"* [[yii\base\Formatter|formatter]]: форматирует данные для отображения их конечному пользователю. Например, число может","* [[yii\i18n\Formatter|formatter]]: форматирует данные для отображения их конечному пользователю. Например, число может",GitHubTypoCorpusRu
* Не используйте глобальное пространство имен. Разрешайте все зависимости с помощью Dependency Injection.,* Не используйте глобальное пространство имён. Разрешайте все зависимости с помощью Dependency Injection.,GitHubTypoCorpusRu
"              ""### А могу ли я сделать это самостоятельно ?"",","              ""### А могу ли я сделать это самостоятельно?"",",GitHubTypoCorpusRu
сценария [валидаации при отправке формы](https://guides.kontur.ru/principles/validation/#07).,сценария [валидации при отправке формы](https://guides.kontur.ru/principles/validation/#07).,GitHubTypoCorpusRu
"- Вы можете даже использовать препроцессоры, такие как Pug (ранее известный как Jade), чтобы создавать ваши шаблоны в Vue.","- Вы можете даже использовать препроцессоры, такие как Pug (ранее известный как Jade), чтобы создавать ваши шаблоны во Vue.",GitHubTypoCorpusRu
// вернёт все поля обявленные в fields() и поле profile если оно указано в extraFields(),// вернёт все поля объявленные в fields() и поле profile если оно указано в extraFields(),GitHubTypoCorpusRu
            Привествуем %username%!,            Приветствуем %username%!,GitHubTypoCorpusRu
Ранее эта функция называлась `uniq/1`. Старый вариант помечен устаревшим в Elixir 1.4 и будет выдавать предупреждении при использовании.,Ранее эта функция называлась `uniq/1`. Старый вариант помечен устаревшим в Elixir 1.4 и будет выдавать предупреждение при использовании.,GitHubTypoCorpusRu
"Чтоб исправить это, придется явно указать тип, если ни один объект не имеет тип, базовый для всех остальных:","Чтобы исправить это, придется явно указать тип, если ни один объект не имеет тип, базовый для всех остальных:",GitHubTypoCorpusRu
"После этого вы можете использовать UserView в модели поиска, без каких-либо дополнительных условий по сортировки и фильтрации.","После этого вы можете использовать UserView в модели поиска, без каких-либо дополнительных условий по сортировке и фильтрации.",GitHubTypoCorpusRu
"        Курс обмена может отличаться от того, что был показан на предыдущих экранах..</p>","        Курс обмена может отличаться от того, что был показан на предыдущих экранах.</p>",GitHubTypoCorpusRu
"* При этом, как правило, расходы, связанные с переездом из-за рубежа, никак не учитываются. Возможное исключение: вы работали в Германии и каким-то образом пплатили немецкие налоги до переезда.","* При этом, как правило, расходы, связанные с переездом из-за рубежа, никак не учитываются. Возможное исключение: вы работали в Германии и каким-то образом платили немецкие налоги до переезда.",GitHubTypoCorpusRu
"not_found: ""Не найдено сообщений содержащих: <strong>{query}</strong>""","not_found: ""Не найдено сообщений, содержащих: <strong>{query}</strong>""",GitHubTypoCorpusRu
Позже мы вернем код таймера обратно в компонент.,Позже мы вернём код таймера обратно в компонент.,GitHubTypoCorpusRu
"ok:     Отлчно, круто! Вы создали таблицу своих оценок","ok:     Отлично, круто! Вы создали таблицу своих оценок",GitHubTypoCorpusRu
"Процесс тестирования может быть автоматизирован так, что каждый раз когда нам нужно что-то проверить, мы просто должны ","Процесс тестирования может быть автоматизирован так, что каждый раз, когда нам нужно что-то проверить, мы просто должны ",GitHubTypoCorpusRu
Переодически стоит заглядывать в [документацию](https://github.com/vim/vim/blob/master/runtime/doc/intro.txt). Её также можно открыть в самом vim используя команду `:help`.,Периодически стоит заглядывать в [документацию](https://github.com/vim/vim/blob/master/runtime/doc/intro.txt). Её также можно открыть в самом vim используя команду `:help`.,GitHubTypoCorpusRu
"С видеокартами 7xxx и новее для этого нет необходимости использовать собственные коннекторы. Добавьте свойство контроллера видеокарты `connector-priority`, перечислив sense id (можно посмотреть в режиме прдробного логирования) в порядке важности. Данное свойство иногда помогает решить проблемы с мультимониторными конфигурациями. ","С видеокартами 7xxx и новее для этого нет необходимости использовать собственные коннекторы. Добавьте свойство контроллера видеокарты `connector-priority`, перечислив sense id (можно посмотреть в режиме подробного логирования) в порядке важности. Данное свойство иногда помогает решить проблемы с мультимониторными конфигурациями. ",GitHubTypoCorpusRu
"Наиболее гибкие возможности для построения крупной программной системы дают компоненты, способные работать и с теми данными, которые есть сегодня, с теми, которые могут появиться завтра.","Наиболее гибкие возможности для построения крупной программной системы дают компоненты, способные работать и с теми данными, которые есть сегодня, и с теми, которые могут появиться завтра.",GitHubTypoCorpusRu
">Если вы хотите использовать эту оптимизацию, обратите внимание на то, чтобы массив включал в себя **все значения из внешней области видимости, которые могут изменяться с течением времи, и которые будут использоваться эффектом**. В противном случае, ваш код будет ссылаться на устаревшее значение из предыдущих рендеров. Мы рассмотрим другие возможные оптимизации на странице [справочник API хуков](/docs/hooks-reference.html). ",">Если вы хотите использовать эту оптимизацию, обратите внимание на то, чтобы массив включал в себя **все значения из внешней области видимости, которые могут изменяться с течением времени, и которые будут использоваться эффектом**. В противном случае, ваш код будет ссылаться на устаревшее значение из предыдущих рендеров. Мы рассмотрим другие возможные оптимизации на странице [справочник API хуков](/docs/hooks-reference.html). ",GitHubTypoCorpusRu
"-  Квартиры можно снимать помимо “частников” также от фирм, например, так называемые Wohnungsgenossenschaften.","Квартиры можно снимать помимо “частников” также от фирм, например, так называемые Wohnungsgenossenschaften.",GitHubTypoCorpusRu
"XFS также подходит, но не так тщательно протестирована в сочитании с ClickHouse.","XFS также подходит, но не так тщательно протестирована в сочетании с ClickHouse.",GitHubTypoCorpusRu
"	#Продвинутые параметры# - Дополнительные настройки сжатия, описанные в сравке 7-Zip для ключа -m.","	#Продвинутые параметры# - Дополнительные настройки сжатия, описанные в справке 7-Zip для ключа -m.",GitHubTypoCorpusRu
"- [Англоязычная в Пренцлауерберге](http://fahrschule-berlin-prenzlauer-berg.de/) - хороший инструктор, очень помогает на экзамене.","- [Англоязычная в Prenzlauer Berg](http://fahrschule-berlin-prenzlauer-berg.de/) - хороший инструктор, очень помогает на экзамене.",GitHubTypoCorpusRu
"        ""Первый слой этой сети - `tf.keras.layers.Flatten`, пробразует формат изображения из двумерного массива (28 на 28 пикселей) в одномерный (размерностью 28 * 28 = 784 пикселя). Слой извлекает строки пикселей из изображения и выстраивает их в один ряд. Этот слой не имеет параметров для обучения; он только переформатирует данные.\n"",","        ""Первый слой этой сети - `tf.keras.layers.Flatten`, преобразует формат изображения из двумерного массива (28 на 28 пикселей) в одномерный (размерностью 28 * 28 = 784 пикселя). Слой извлекает строки пикселей из изображения и выстраивает их в один ряд. Этот слой не имеет параметров для обучения; он только переформатирует данные.\n"",",GitHubTypoCorpusRu
"Готово! Всё просто. Мы назвали тег `v1` и заставили его ссылкаться на `C1` явным образом. Если конкретный коммит не указан, гит пометит тегом `HEAD`","Готово! Всё просто. Мы назвали тег `v1` и заставили его ссылаться на `C1` явным образом. Если конкретный коммит не указан, гит пометит тегом `HEAD`",GitHubTypoCorpusRu
        deadline: Назаченные вам задачи с просроченным дедлайном,        deadline: Назначенные вам задачи с просроченным дедлайном,GitHubTypoCorpusRu
* Используйте кастомные префиксы для ваших директив во избежании коллизий со сторонними библиотеками.,* Используйте кастомные префиксы для ваших директив во избежание коллизий со сторонними библиотеками.,GitHubTypoCorpusRu
tile.block_enhanced_alloy_smelter.tooltip.detailed.line3=Обновление с конденсаторами увеличит скорость и накопление энергии,tile.block_enhanced_alloy_smelter.tooltip.detailed.line3=Обновление конденсаторами увеличит скорость и накопление энергии,GitHubTypoCorpusRu
"              ""Для разработчиков, вовлечённых в большой проект, является довольно распространённым выполнять всё свою работу на так называемых фича-бранчах (вне `master`). А затем, как только работа выполнена, разработчик интегрирует всё что было им сделано. Всё это, за исключением одного шага, довольно похоже на предыдущий урок (там, где мы закачивали ветки на удалённый репозиторий)"",","              ""Для разработчиков, вовлечённых в большой проект, является довольно распространённым выполнять всю свою работу в так называемых фича-бранчах (вне `master`). А затем, как только работа выполнена, разработчик интегрирует всё что было им сделано. Всё это, за исключением одного шага, довольно похоже на предыдущий урок (там, где мы закачивали ветки на удалённый репозиторий)"",",GitHubTypoCorpusRu
Здесь мы просто выставляем свойство `status` комментария в `approved` согласно значению соответсвующей константы класса `Comment`:,Здесь мы просто выставляем свойство `status` комментария в `approved` согласно значению соответствующей константы класса `Comment`:,GitHubTypoCorpusRu
"то необходимо подключить `regenerator-runtime` или `babel-polifyll`,","то необходимо подключить `regenerator-runtime` или `babel-polyfill`,",GitHubTypoCorpusRu
"Используя формат массива, Yii автоматически призяывает значения массива как параметры, потому в отличие от [строкового формата](#string-format),","Используя формат массива, Yii автоматически привязывает значения массива как параметры, потому в отличие от [строкового формата](#string-format),",GitHubTypoCorpusRu
"Гонка за оптимизацией — это драматично и правильно, но лучше написать работающий и понятный вам код, а потом уже его оптимизировать и искать узкие места, при необходимости. Оптимизацию необходимо делать, если вы видите явные неудобства для пользователя в тех или иных браузерах или у вас есть супер-крупный проект, которым никогда не мешает оптимизация, или вы работаете с какой-либо сверхтребовательной технологией типа WebGL. Данная документация очень поможет вам в определении этих узких мест.","Гонка за оптимизацией — это драматично и правильно, но лучше написать работающий и понятный вам код, а потом уже его оптимизировать и искать узкие места при необходимости. Оптимизацию необходимо делать, если вы видите явные неудобства для пользователя в тех или иных браузерах, или у вас один из тех супер-крупных проектов, которым никогда не помешает оптимизация, или вы работаете с какой-либо сверхтребовательной технологией типа WebGL. Данная документация очень поможет вам в определении этих узких мест.",GitHubTypoCorpusRu
"//	// Сначала пробуем как Native, если процесс окажется другой битности - переоткроем snapshoot","//	// Сначала пробуем как Native, если процесс окажется другой битности - переоткроем snapshot",GitHubTypoCorpusRu
"Пользовательские элементы Polymer пишутся в HTML-файлах, что ограничивает авторов использованием обыкновенного JavaScript/CSS (и возможностей языка, поддерживаемых браузерами на данный момент). Vue же позволяет использовать в однофайловых компонентах какие угодно пре- и построцессоры, включая, разумеется, и ES2015+.","Пользовательские элементы Polymer пишутся в HTML-файлах, что ограничивает авторов использованием обыкновенного JavaScript/CSS (и возможностей языка, поддерживаемых браузерами на данный момент). Vue же позволяет использовать в однофайловых компонентах какие угодно пре- и постпроцессоры, включая, разумеется, и ES2015+.",GitHubTypoCorpusRu
">Некоторые примеры в документации используют для удобства `style`, но **использование атрибута `style` для оформления элементов не рекомендуется.** В большинстве случаев для ссылки на классы, определенные во внешнем CSS, следует использовать [`className`](#classname). Атрибут `style` в React чаще всего используется при добавлении динамически вычисляемых стилей во время рендера. Смотрите [FAQ: Стили и CSS](/docs/faq-styling.html).",">Некоторые примеры в документации используют для удобства `style`, но **использование атрибута `style` для оформления элементов не рекомендуется.** В большинстве случаев для ссылки на классы, определённые во внешнем CSS, следует использовать [`className`](#classname). Атрибут `style` в React чаще всего используется при добавлении динамически вычисляемых стилей во время рендера. Смотрите [FAQ: Стили и CSS](/docs/faq-styling.html).",GitHubTypoCorpusRu
  * [Контрольные и проверочые материалы](tests.md),  * [Контрольные и проверочные материалы](tests.md),GitHubTypoCorpusRu
"Проверяет что сообщение, является исходящим",Проверяет что сообщение является исходящим,GitHubTypoCorpusRu
"Хотя [Active Record] (db-active-record.md) очень удобно использовать, это не так эффективно, как использование простых ","Хотя [Active Record](db-active-record.md) очень удобно использовать, это не так эффективно, как использование простых ",GitHubTypoCorpusRu
* Скопіюйте `/requirements.php` файл до `/web/requirements.php` та використайте браузер для доступу до URL `http://localhost/requirements.php`,* Скопіюйте файл `/requirements.php` до `/web/requirements.php` та використайте браузер для доступу до URL `http://localhost/requirements.php`,GitHubTypoCorpusRu
Утилита dig является DNS-клиентом и входит в состав одного из самых распространённых DNS-серверов BING.,Утилита dig является DNS-клиентом и входит в состав одного из самых распространённых DNS-серверов BIND.,GitHubTypoCorpusRu
   * Проверка что пользователь НЕМОЖЕТ удалить топик автором которого он неявляется,"   * Проверка, что пользователь НЕ МОЖЕТ удалить топик, автором которого он не является,",GitHubTypoCorpusRu
          button: 'Выберите файл c компьютера',          button: 'Выберите файл с компьютера',GitHubTypoCorpusRu
"		'Your browser does not allow the copy command. Please use the keyboard shortcut Ctrl/Cmd-C': 'Ваш браузер не позволяет сократить команду. Пожалуйста, используйте сочетание клавиш Ctrl / Cmd-C',","		'Your browser does not allow the copy command. Please use the keyboard shortcut Ctrl/Cmd-C': 'Ваш браузер не позволяет выполнять эту команду. Пожалуйста, используйте сочетание клавиш Ctrl / Cmd-C',",GitHubTypoCorpusRu
* `decimal`: дясятичное число. Для MySQL конвертируется в `decimal`;,* `decimal`: десятичное число. Для MySQL конвертируется в `decimal`;,GitHubTypoCorpusRu
> asset plugin. Мы можете сделать это выполнив `composer global show`. Вывод должен содержать `fxp/composer-asset-plugin`.,> asset plugin. Вы можете сделать это выполнив `composer global show`. Вывод должен содержать `fxp/composer-asset-plugin`.,GitHubTypoCorpusRu
"Помимо ввода входных данных (доступных через `this.props`), компонент поддерживает внутренние данные состояния (доступные через `this.state`). Когда данные состояния компонента изменяются, отрендеренная разметка будет обноновлена путём повторного вызова `render()`.","Помимо ввода входных данных (доступных через `this.props`), компонент поддерживает внутренние данные состояния (доступные через `this.state`). Когда данные состояния компонента изменяются, отрендеренная разметка будет обновлена путём повторного вызова `render()`.",GitHubTypoCorpusRu
"Форматы по-умолчанию, используемые в методах форматирования, можно настраивать через свойства","Форматы по умолчанию, используемые в методах форматирования, можно настраивать через свойства",GitHubTypoCorpusRu
"По завершению у вас будет создана виртуальная машина, но она пока без операционной системы. Для того чтоб её установить нужно скачать Ubuntu Linux (32-bit или 64-bit в зависимости от того что было выбрано на шаге где мы указывали тип ОС).","По завершению у вас будет создана виртуальная машина, но она пока без операционной системы. Для того чтобы её установить, нужно скачать Ubuntu Linux (32-bit или 64-bit, в зависимости от того, что было выбрано на шаге, где мы указывали тип ОС).",GitHubTypoCorpusRu
"Документация Chosen предлагает использовать jQuery-метод `trigger()`, чтобы сообщить об изменения в оригинальном DOM-элементе. Мы поручим React заниматься обновлением `this.props.children` внутри `<select>`, но нужно добавить метод жизненного цикла `componentDidUpdate()`, чтобы уведомлять Chosen про обновление списка дочерних элементов:","Документация Chosen предлагает использовать jQuery-метод `trigger()`, чтобы сообщить об изменениях в оригинальном DOM-элементе. Мы поручим React заниматься обновлением `this.props.children` внутри `<select>`, но нужно добавить метод жизненного цикла `componentDidUpdate()`, чтобы уведомлять Chosen про обновление списка дочерних элементов:",GitHubTypoCorpusRu
"text: Пожалуйста выберите чат, чтобы начать общение","text: Пожалуйста, выберите чат, чтобы начать общение",GitHubTypoCorpusRu
"В отличи от обычных HTTP серверов, Go использует гоурутины при каждом обращении к функции Conn. За счет эго обеспечивается высокая производительность и параллельная обработка.","В отличии от обычных HTTP серверов, Go использует гоурутины при каждом обращении к функции Conn. За счет эго обеспечивается высокая производительность и параллельная обработка.",GitHubTypoCorpusRu
   * и прошло больше часа с момента почтинга,   * и прошло больше часа с момента постинга,GitHubTypoCorpusRu
"Некоторые разработчики любят сохранять историю и, таким образом, предпочитают слияние (merging). Другие (такие как я) предпочитают иметь чистое дерево коммитов, и пользуются перебазировкой (rebasing). Всё зависит от Ваших предпочтений и вкусов :D","Некоторые разработчики любят сохранять историю, и таким образом, предпочитают слияние (merging). Другие (такие как я) предпочитают иметь чистое дерево коммитов, и пользуются перебазировкой (rebasing). Всё зависит от Ваших предпочтений и вкусов :D",GitHubTypoCorpusRu
"вызывается в действии, он будет искать PHP файл с именем вида `views/ControllerID/ActionID/ViewName.php`.","вызывается в действии, он будет искать PHP файл с именем вида `views/ControllerID/ViewName.php`.",GitHubTypoCorpusRu
"Для значений `null` в PHP, класс форматирования будет отображать вместо пустой строки маркер, по-умолчанию это","Для значений `null` в PHP, класс форматирования будет отображать вместо пустой строки маркер, по умолчанию это",GitHubTypoCorpusRu
"Вероятно, вы хотите сохранить предыдущее состояние при регистрации нового модуля, например сохранить состояние из приложения с рендерингом на стороне сервера. Вы можете этого добиться с помощью опции `preserveState`: `store.registerModule('a', module, { preserveState: true })`","Вероятно, вы хотите сохранить предыдущее состояние при регистрации нового модуля, например сохранить состояние из приложения с рендерингом на стороне сервера. Вы можете этого добиться с помощью опции `preserveState`: `store.registerModule('a', module, { preserveState: true })`.",GitHubTypoCorpusRu
"В этом втором примере важно отметить, что дочерний компонент всё остаётся полностью независимым от всего происходящего снаружи. Он всего лишь уведомляет внешний мир о происходящем с ним, включая данные полезной нагрузки в генераторе событий (event emitter), на случай, если родительскому компоненту это будет интересно.","В этом втором примере важно отметить, что дочерний компонент всё ещё остаётся полностью независимым от всего происходящего снаружи. Он всего лишь уведомляет внешний мир о происходящем с ним, включая данные полезной нагрузки в генераторе событий (event emitter), на случай, если родительскому компоненту это будет интересно.",GitHubTypoCorpusRu
"Ещё, мы добавили обработчки события с именем `setImage`, который будет изменять значение `mainImageUrl`.","Ещё, мы добавили обработчик события с именем `setImage`, который будет изменять значение `mainImageUrl`.",GitHubTypoCorpusRu
"Для получения дополнительной информации, ознакомьтесь с [API плагина для UI](../dev-guide/ui-api.md).",Для получения дополнительной информации ознакомьтесь с [API плагина для UI](../dev-guide/ui-api.md).,GitHubTypoCorpusRu
"- Более подробное покрытие тестами функционала, таким образом, если все тесты отрабатывают без ошибок, скорее всего, ничего не сломано.","- Более подробное покрытие тестами функционала. Таким образом, если все тесты отрабатывают без ошибок, скорее всего, ничего не сломано.",GitHubTypoCorpusRu
"- Для всех, кроме ICE (быстрые поезда дальнего следования) и частично RB (RegionalBahn)","- Для всех, кроме ICE (быстрые поезда дальнего следования) и частично RB (Regionalbahn)",GitHubTypoCorpusRu
"Я работаю за нестандартными клавиатурами и раскладками с 2013 года. Когда мне приходилось часто переключаться, я мог одинаково свободно работать за любыми раскладами. Когда я стал работать преимущественно за одним компьютером и одной раскладкой, этот навык потерялся, но как показала практика, проблема сильно преувеличена — работать за чужими компьюрами приходится не так уж и часто.","Я работаю за нестандартными клавиатурами и раскладками с 2013 года. Когда мне приходилось часто переключаться, я мог одинаково свободно работать за любыми раскладами. Когда я стал работать преимущественно за одним компьютером и одной раскладкой, этот навык потерялся, но как показала практика, проблема сильно преувеличена — работать за чужими компьютерами приходится не так уж и часто.",GitHubTypoCorpusRu
> API-метод `mockComponent()` объявлен устаревшим. Поэтому вместо него рекомендуется использоваться [поверхностный рендеринг](/docs/shallow-renderer.html) или [`jest.mock()`](https://facebook.github.io/jest/docs/en/tutorial-react-native.html#mock-native-modules-using-jestmock).,> API-метод `mockComponent()` объявлен устаревшим. Поэтому вместо него рекомендуется использовать [поверхностный рендеринг](/docs/shallow-renderer.html) или [`jest.mock()`](https://facebook.github.io/jest/docs/en/tutorial-react-native.html#mock-native-modules-using-jestmock).,GitHubTypoCorpusRu
- :1234: **Разработка по шиблону**: Простое в использовании решение для разработки,- :1234: **Разработка по шаблону**: Простое в использовании решение для разработки,GitHubTypoCorpusRu
"Когда вы передаёте в инстанс Vue простой JavaScript-объект в качестве опции `data`, Vue проходит по всем его полям и превращаит их в пары геттеров/сеттеров, используя [Object.defineProperty](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Object/defineProperty). Эта возможность имеется в JavaScript только начиная с версии ES5, и в более ранних версиях её сэмулировать не удаётся — по этой-то причине Vue и не поддерживает браузеры IE8 и старше.","Когда вы передаёте в инстанс Vue простой JavaScript-объект в качестве опции `data`, Vue проходит по всем его полям и превращает их в пары геттеров/сеттеров, используя [Object.defineProperty](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Object/defineProperty). Эта возможность имеется в JavaScript, только начиная с версии ES5, и в более ранних версиях её сэмулировать не удаётся — по этой-то причине Vue и не поддерживает браузеры IE8 и старше.",GitHubTypoCorpusRu
"Распространённое выражение «Девять женщин не могут выносить ребёнка за один месяц» отсылает нас как раз к закону Брука. В частности, к тому факту, что некоторые виды работ нельзя поделить на части и запараллелить.","Распространённое выражение «Девять женщин не могут выносить ребёнка за один месяц» отсылает нас как раз к закону Брукса. В частности, к тому факту, что некоторые виды работ нельзя поделить на части и запараллелить.",GitHubTypoCorpusRu
"- [Glitch для техт, кто не осилил](https://thenextweb.com/dd/2018/03/30/glitch-rewind-wants-make-version-control-easy-everyone/) - *01:42:25*.","- [Glitch для тех, кто не осилил](https://thenextweb.com/dd/2018/03/30/glitch-rewind-wants-make-version-control-easy-everyone/) - *01:42:25*.",GitHubTypoCorpusRu
"- [Термин на замену прав](https://service.berlin.de/dienstleistung/327537/) часто появлялся в 6:00 или 7:00 на этот же день, иначе букать надо очень заранее.","- [Термин на замену прав](https://service.berlin.de/dienstleistung/327537/) часто появлялся в 6:00 или 7:00 на этот же день, иначе бронировать надо очень заранее.",GitHubTypoCorpusRu
"Кэш в Spider разработан в виде отдельньго слоя для того, чтобы можно было подключать различные базы данных. В данный момент доступна только одна реализация кэша - хранение данных в mongodb","Кэш в Spider разработан в виде отдельного слоя для того, чтобы можно было подключать различные базы данных. В данный момент доступна только одна реализация кэша - хранение данных в mongodb.",GitHubTypoCorpusRu
"Именованные значения задаются парами `'string' = integer`. ClickHouse хранить только числа, но допускает операции над ними с помощью заданных имён.","Именованные значения задаются парами `'string' = integer`. ClickHouse хранит только числа, но допускает операции над ними с помощью заданных имён.",GitHubTypoCorpusRu
"Затем мы создаём мок хранилища вызовом `new Vuex.store` с нашими заготовленными значениями. Мы передаём ему только дейсвтия, так как это всё что нам необходимо.","Затем мы создаём мок хранилища вызовом `new Vuex.store` с нашими заготовленными значениями. Мы передаём ему только действия, так как это всё, что нам необходимо.",GitHubTypoCorpusRu
Параграфы текста разделяются пустой строкой. Еденичные переводы строк в тексте игнорируются.,Параграфы текста разделяются пустой строкой. Единичные переводы строк в тексте игнорируются.,GitHubTypoCorpusRu
  empty: Вы не будете получать сообщения от пользовтелей которых вы заблокировали,  empty: Вы не будете получать сообщения от пользователей которых вы заблокировали,GitHubTypoCorpusRu
          clearAllFilters: 'Очистите все фильтры',          clearAllFilters: 'Очистить все фильтры',GitHubTypoCorpusRu
"Конструктор компонента React вызывается до того, как компонент будет примонтирован. В начале конструктора необходимо вызывать `super(props)`. Если это не сделать, `this.props` не будет определен. Это может привести к багам.","Конструктор компонента React вызывается до того, как компонент будет примонтирован. В начале конструктора необходимо вызывать `super(props)`. Если это не сделать, `this.props` не будет определён. Это может привести к багам.",GitHubTypoCorpusRu
В Elixir ассоциативный массив - это хранилище типа ключ-значение с возможностью быстрого получения информации по ключу. В отличие от ключевых списков они поддерживают любой тип ключей и не сохраняют порядок следования. Ассоциативный массив обьявляется с помощью синтаксиса `%{}`:,В Elixir ассоциативный массив - это хранилище типа ключ-значение с возможностью быстрого получения информации по ключу. В отличие от ключевых списков они поддерживают любой тип ключей и не сохраняют порядок следования. Ассоциативный массив объявляется с помощью синтаксиса `%{}`:,GitHubTypoCorpusRu
верноезначение переменной `bookmark-cmd'.,верное значение переменной `bookmark-cmd'.,GitHubTypoCorpusRu
	# последовательно зкапускаем make для каждой из целей.,	# последовательно запускаем make для каждой из целей.,GitHubTypoCorpusRu
"На практике в июле 2017 в LIDL для активации на видеозвонке показывал только паспорт с различных сторон, регистрацию не требовали т.е. адрес не проверяли вообще.","В июле 2017 в LIDL для активации на видеозвонке показывал только паспорт с различных сторон, регистрацию не требовали т.е. адрес не проверяли вообще.",GitHubTypoCorpusRu
  - Недостатки: время ожидания квартиры взависимости от фирмы и  района может быть достаточно долгим Wohnungsgenossenschaftenв Берлине [зд￼￼е](http://www.berlin.de/special/immobilien-und-wohnen/adressen/wohnungsbaugenossenschaft/)сь,  - Недостатки: время ожидания квартиры взависимости от фирмы и  района может быть достаточно долгим Wohnungsgenossenschaftenв Берлине [здесь](http://www.berlin.de/special/immobilien-und-wohnen/adressen/wohnungsbaugenossenschaft/),GitHubTypoCorpusRu
